name,position,team_number,mlb_team,throws,bats,last_seven_BR_ba,last_seven_BR_obp,last_seven_BR_slg,last_seven_BR_ops,last_15_BR_ba,last_15_BR_obp,last_15_BR_slg,last_15_BR_ops,last_30_BR_ba,last_30_BR_obp,last_30_BR_slg,last_30_BR_ops,vs_left_BR_ba,vs_left_BR_obp,vs_left_BR_slg,vs_left_BR_ops,vs_right_BR_ba,vs_right_BR_obp,vs_right_BR_slg,vs_right_BR_ops
Austin Dean,LF,8,MIA,R,R,,,,,,,,,.227,.217,.455,.672,.167,.167,.333,.500,.250,.235,.500,.735
Austin Hedges,C,8,SD,R,R,.154,.313,.154,.466,.087,.222,.087,.309,.157,.232,.353,.585,.067,.222,.267,.489,.197,.258,.361,.618
Christian Vazquez,C,8,BOS,R,R,.500,.563,.786,1.348,.407,.500,.556,1.056,.305,.364,.542,.906,.375,.432,.750,1.182,.204,.259,.333,.592
Daniel Palka,RF,8,CWS,L,L,,,,,,,,,.083,.313,.083,.396,.000,.000,.000,.000,.034,.222,.034,.257
Daniel Robertson,RF,8,CLE,R,R,,,,,,,,,,,,,.286,.340,.388,.727,.129,.206,.258,.464
Daniel Robertson,2B,8,TB,R,R,.182,.400,.545,.945,.167,.355,.458,.813,.155,.300,.328,.628,.267,.353,.433,.786,.136,.261,.220,.481
Eduardo Nunez,2B,8,BOS,R,R,.333,.300,.667,.967,.333,.300,.667,.967,.217,.240,.348,.588,.167,.192,.333,.526,.207,.207,.207,.414
Edwin Encarnacion,DH,8,SEA,R,R,.278,.381,.611,.992,.265,.419,.618,1.036,.210,.337,.444,.781,.208,.367,.458,.825,.253,.379,.516,.895
Harrison Bader,CF,8,STL,R,R,.214,.353,.286,.639,.292,.433,.458,.892,.233,.439,.367,.806,.308,.471,.615,1.086,.200,.355,.340,.695
Hunter Dozier,3B,8,KC,R,R,.346,.452,.692,1.144,.390,.479,.707,1.186,.424,.520,.835,1.355,.214,.389,.321,.710,.393,.469,.810,1.279
Hunter Renfroe,RF,8,SD,R,R,.235,.278,.647,.925,.273,.306,.697,1.003,.194,.239,.468,.707,.227,.250,.591,.841,.243,.303,.586,.888
Jake Bauers,LF,8,CLE,L,L,.286,.286,.286,.571,.324,.333,.412,.745,.268,.338,.366,.704,.267,.267,.400,.667,.239,.337,.352,.689
Josh Reddick,RF,8,HOU,R,L,.235,.278,.294,.572,.268,.348,.390,.738,.347,.395,.520,.915,.286,.286,.571,.857,.340,.398,.436,.834
Khris Davis,LF,8,OAK,R,R,.333,.467,.417,.883,.194,.326,.250,.576,.234,.314,.468,.781,.229,.325,.657,.982,.229,.295,.417,.712
Lonnie Chisenhall,RF,8,PIT,R,L,,,,,,,,,,,,,.286,.375,.429,.804,.325,.395,.455,.850
Martin Maldonado,C,8,KC,R,R,.235,.350,.294,.644,.222,.300,.259,.559,.183,.290,.283,.573,.111,.172,.148,.321,.219,.315,.313,.628
Miguel Andujar,3B,8,NYY,R,R,.182,.250,.182,.432,.182,.250,.182,.432,.182,.250,.182,.432,.000,.000,.000,.000,.227,.250,.227,.477
Ozzie Albies,2B,8,ATL,R,S,.241,.241,.448,.690,.291,.328,.636,.964,.245,.286,.481,.767,.389,.389,.722,1.111,.246,.312,.412,.724
Trea Turner,SS,8,WSH,R,R,,,,,,,,,,,,,1.000,1.000,4.000,5.000,.308,.357,.615,.973
