name,position,team_number,mlb_team,throws,bats,last_seven_BR_era,last_seven_BR_ip,last_seven_BR_so,last_seven_BR_bb,last_seven_BR_ba,last_seven_BR_obp,last_seven_BR_slg,last_seven_BR_ops,last_15_BR_era,last_15_BR_ip,last_15_BR_so,last_15_BR_bb,last_15_BR_ba,last_15_BR_obp,last_15_BR_slg,last_15_BR_ops,last_30_BR_era,last_30_BR_ip,last_30_BR_so,last_30_BR_bb,last_30_BR_ba,last_30_BR_obp,last_30_BR_slg,last_30_BR_ops,vs_left_BR_era,vs_left_BR_ip,vs_left_BR_so,vs_left_BR_bb,vs_left_BR_ba,vs_left_BR_obp,vs_left_BR_slg,vs_left_BR_ops,vs_right_BR_era,vs_right_BR_ip,vs_right_BR_so,vs_right_BR_bb,vs_right_BR_ba,vs_right_BR_obp,vs_right_BR_slg,vs_right_BR_ops
Aroldis Chapman,RP,8,NYY,L,L,0.00,1.1,2,0,.200,.200,.200,.400,0.00,3.2,6,2,.083,.214,.083,.298,1.17,7.2,11,2,.148,.233,.148,.381,,,,,.091,.167,.091,.258,,,,,.243,.300,.270,.570
Blake Parker,RP,8,MIN,R,R,6.75,1.1,0,0,.400,.400,1.000,1.400,2.70,3.1,2,0,.273,.273,.545,.818,1.35,6.2,7,3,.217,.308,.348,.656,,,,,.100,.286,.100,.386,,,,,.200,.259,.320,.579
Brian Flynn,RP,8,KC,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.284,.379,.398,.776,,,,,.300,.371,.425,.796
Carlos Rodon,SP,8,CWS,L,L,7.36,3.2,6,2,.313,.389,.500,.889,14.85,6.2,11,5,.412,.487,.794,1.281,6.75,18.2,22,10,.267,.353,.493,.846,,,,,.077,.222,.154,.376,,,,,.256,.336,.416,.752
Cody Allen,RP,8,LAA,R,R,,,,,,,,,13.50,0.2,2,3,.333,.667,.333,1.000,13.50,4.0,6,9,.368,.552,.895,1.446,,,,,.133,.300,.333,.633,,,,,.263,.440,.632,1.072
David Hess,RP,8,BAL,R,R,2.08,4.1,4,2,.211,.286,.263,.549,2.08,4.1,4,2,.211,.286,.263,.549,7.41,17.0,10,4,.307,.342,.600,.942,,,,,.245,.315,.490,.805,,,,,.243,.284,.543,.827
Eric Lauer,SP,8,SD,L,R,3.60,5.0,5,2,.211,.286,.421,.707,3.38,10.2,11,5,.158,.256,.342,.598,3.92,20.2,21,7,.253,.310,.430,.741,,,,,.231,.268,.359,.627,,,,,.264,.325,.453,.778
Gio Gonzalez,SP,8,MIL,L,R,1.69,5.1,7,0,.158,.158,.263,.421,2.61,10.1,9,1,.237,.256,.368,.625,2.61,10.1,9,1,.237,.256,.368,.625,,,,,.143,.143,.143,.286,,,,,.292,.320,.500,.820
Jaime Barria,SP,8,LAA,R,R,,,,,,,,,37.80,1.2,1,1,.667,.688,.933,1.621,8.16,14.1,10,3,.381,.418,.571,.989,,,,,.300,.323,.500,.823,,,,,.455,.500,.636,1.136
Jon Lester,SP,8,CHC,L,L,0.00,7.0,8,1,.043,.083,.043,.127,0.75,12.0,13,1,.119,.140,.190,.330,0.75,12.0,13,1,.119,.140,.190,.330,,,,,.231,.286,.385,.670,,,,,.174,.230,.304,.534
Kelvin Herrera,RP,8,CWS,R,R,20.25,2.2,3,3,.417,.500,.583,1.083,11.37,6.1,7,4,.333,.406,.519,.925,6.75,12.0,13,6,.250,.327,.375,.702,,,,,.269,.355,.308,.663,,,,,.220,.256,.366,.622
Luis Cessa,SP,8,NYY,R,R,0.00,3.0,5,1,.000,.100,.000,.100,7.71,4.2,7,1,.222,.263,.556,.819,5.00,9.0,12,5,.219,.316,.500,.816,,,,,.292,.346,.500,.846,,,,,.143,.262,.286,.548
Madison Bumgarner,SP,8,SF,L,R,1.50,6.0,8,2,.182,.250,.227,.477,4.63,11.2,13,2,.319,.347,.404,.751,4.38,24.2,27,3,.278,.300,.381,.681,,,,,.135,.158,.216,.374,,,,,.281,.324,.445,.769
Masahiro Tanaka,SP,8,NYY,R,R,6.75,4.0,6,1,.294,.333,.529,.863,7.45,9.2,8,4,.282,.349,.538,.887,6.10,20.2,21,10,.278,.360,.557,.917,,,,,.273,.333,.515,.848,,,,,.256,.307,.439,.746
Matt Moore,SP,8,DET,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.000,.000,.000,.000,,,,,.097,.125,.097,.222
Reynaldo Lopez,SP,8,CWS,R,R,10.80,5.0,6,3,.364,.440,.682,1.122,4.91,11.0,20,6,.238,.333,.429,.762,5.60,27.1,38,12,.291,.361,.536,.897,,,,,.357,.478,.679,1.157,,,,,.264,.320,.495,.815
Ryan Brasier,RP,8,BOS,R,R,54.00,0.1,1,0,.500,.500,1.250,1.750,6.75,2.2,2,0,.250,.250,.500,.750,4.00,9.0,9,1,.229,.270,.486,.756,,,,,.241,.290,.586,.877,,,,,.174,.240,.174,.414
Tanner Scott,RP,8,BAL,L,R,,,,,,,,,54.00,0.1,1,3,.667,.833,1.667,2.500,6.75,6.2,12,8,.379,.514,.690,1.203,,,,,.500,.692,1.125,1.817,,,,,.333,.417,.524,.940
